epoch,accuracy,auc,false_negatives,false_positives,loss,lr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
10,0.767402708530426,0.9906147718429565,5373.0,1433.0,1.0411403179168701,1e-04,0.8869962692260742,0.6767342686653137,1644046.0,11248.0,0.9332129955291748,0.9990319609642029,439.0,275.0,0.18034793436527252,0.948846697807312,0.9207581281661987,548185.0,5101.0
11,0.7859936356544495,0.9914725422859192,4962.0,1311.0,0.9697945713996887,1e-04,0.8989205956459045,0.7014620304107666,1644168.0,11659.0,0.9377256035804749,0.9992356896400452,409.0,277.0,0.16491615772247314,0.9487795829772949,0.9261732697486877,548183.0,5131.0
12,0.8027194738388062,0.9926022291183472,4610.0,1263.0,0.8866326212882996,1e-04,0.9048516154289246,0.7226400375366211,1644216.0,12011.0,0.9519855380058289,0.9994709491729736,303.0,205.0,0.12547743320465088,0.9623300433158875,0.9453068375587463,548255.0,5237.0
13,0.8047049045562744,0.9926797747612,4488.0,1330.0,0.8624947667121887,1e-04,0.9012107253074646,0.7299801707267761,1644149.0,12133.0,0.9339350461959839,0.9983950853347778,410.0,285.0,0.18773528933525085,0.9473684430122375,0.9259927868843079,548175.0,5130.0
14,0.8204680681228638,0.9941359758377075,4190.0,1213.0,0.8032979369163513,1e-04,0.911096453666687,0.7479092478752136,1644266.0,12431.0,0.9395306706428528,0.9991514682769775,374.0,284.0,0.16251716017723083,0.9478899240493774,0.9324910044670105,548176.0,5166.0
15,0.8499488830566406,0.9949420690536499,3541.0,1083.0,0.6753317713737488,4e-05,0.9235331416130066,0.786956250667572,1644396.0,13080.0,0.9624548554420471,0.9995863437652588,227.0,182.0,0.10216941684484482,0.9668790102005005,0.9590252637863159,548278.0,5313.0
16,0.8605980277061462,0.9962326288223267,3162.0,1012.0,0.6126893758773804,4e-05,0.9300670027732849,0.809758722782135,1644467.0,13459.0,0.9608303308486938,0.9994015097618103,239.0,193.0,0.10745232552289963,0.9648707509040833,0.9568592309951782,548267.0,5301.0
17,0.8649900555610657,0.9958394765853882,3131.0,1039.0,0.5994452834129333,4e-05,0.9284878373146057,0.8116238713264465,1644440.0,13490.0,0.9669675230979919,0.9995934367179871,197.0,159.0,0.09504608064889908,0.9711014032363892,0.9644404053688049,548301.0,5343.0
18,0.8702845573425293,0.9962648153305054,2994.0,1010.0,0.5694764256477356,4e-05,0.9309967756271362,0.819866418838501,1644469.0,13627.0,0.965162456035614,0.9994077682495117,212.0,175.0,0.10230188816785812,0.9681991934776306,0.9617328643798828,548285.0,5328.0
19,0.8720293641090393,0.9957602620124817,2875.0,993.0,0.5626328587532043,4e-05,0.9326277375221252,0.8270260691642761,1644486.0,13746.0,0.9689530730247498,0.9995111227035522,182.0,142.0,0.08613752573728561,0.9741818308830261,0.9671480059623718,548318.0,5358.0
20,0.8681787848472595,0.9959537386894226,2943.0,1032.0,0.5679796934127808,4e-05,0.9298436641693115,0.8229348659515381,1644447.0,13678.0,0.9703971147537231,0.9997863173484802,183.0,150.0,0.08171923458576202,0.9727619290351868,0.9669675230979919,548310.0,5357.0
21,0.8791288137435913,0.9966241717338562,2727.0,973.0,0.51853346824646,4e-05,0.9345530271530151,0.8359304666519165,1644506.0,13894.0,0.9711191058158875,0.999692976474762,176.0,143.0,0.0837186872959137,0.9740330576896667,0.9682310223579407,548317.0,5364.0
